City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
290,Tuatapere,NZ,-46.1333,167.6833,65.57,65,75,5.66,broken clouds
291,Mahibadhoo,MV,3.7833,72.9667,82.4,70,100,1.3,overcast clouds
292,Luwuk,ID,-0.9516,122.7875,83.66,73,80,1.32,broken clouds
293,Baie-Comeau,CA,49.2168,-68.1489,6.33,81,15,8.99,few clouds
294,Sangar,RU,63.9242,127.4739,-5.17,94,100,3.69,overcast clouds
295,Portland,US,45.5234,-122.6762,51.91,85,100,13.8,overcast clouds
296,Mehamn,NO,71.0357,27.8492,32.88,87,94,13.18,overcast clouds
297,Longyearbyen,SJ,78.2186,15.6401,31.84,80,40,4.61,scattered clouds
298,Moroto,UG,2.5345,34.6666,69.21,46,99,3.87,overcast clouds
299,Rusape,ZW,-18.5278,32.1284,57.45,93,5,2.71,clear sky
300,Butaritari,KI,3.0707,172.7902,81.48,72,5,20.27,clear sky
301,Nouakchott,MR,18.0858,-15.9785,71.53,73,0,16.28,clear sky
302,Kuala Lipis,MY,4.1842,102.0468,76.95,94,100,0.78,overcast clouds
303,Orange,US,33.7,-117.7675,70.47,58,20,8.05,few clouds
304,Sorland,NO,67.667,12.6934,40.64,78,100,13.89,overcast clouds
305,Glenwood Springs,US,39.5505,-107.3248,41.92,93,100,11.5,overcast clouds
306,Andros Town,BS,24.7,-77.7667,71.56,65,63,22.03,broken clouds
307,Sebinkarahisar,TR,40.2883,38.4236,16.36,87,100,2.98,overcast clouds
308,Imeni Poliny Osipenko,RU,52.4201,136.4853,12.83,92,100,0.67,overcast clouds
309,Pasni,PK,25.2631,63.471,76.41,59,9,7.7,clear sky
310,Saint George,US,37.1041,-113.5841,67.62,13,0,9.22,clear sky
311,Namatanai,PG,-3.6667,152.4333,85.62,59,28,8.25,scattered clouds
312,Beira,MZ,-19.8436,34.8389,72.46,94,16,5.08,few clouds
313,Nelson Bay,AU,-32.7167,152.15,77.0,68,8,1.99,clear sky
314,Tessalit,ML,20.1986,1.0114,72.81,10,0,7.58,clear sky
315,Aitape,PG,-3.1374,142.3475,86.29,66,51,5.86,broken clouds
316,Sao Filipe,CV,14.8961,-24.4956,71.56,70,0,17.67,clear sky
317,Emet,TR,39.343,29.2585,15.49,97,57,2.3,broken clouds
318,Rawson,AR,-43.3002,-65.1023,62.55,55,37,5.14,scattered clouds
319,North Bend,US,43.4065,-124.2243,54.25,83,100,11.5,overcast clouds
320,Solok,ID,-0.7918,100.6593,72.55,91,88,0.16,overcast clouds
321,San Cristobal,VE,7.7669,-72.225,71.78,97,100,2.3,overcast clouds
322,Kulhudhuffushi,MV,6.6221,73.07,81.95,72,61,5.46,broken clouds
323,Fengcheng,CN,40.4536,124.0717,35.91,98,100,1.45,overcast clouds
324,Parfino,RU,57.9731,31.6481,25.34,98,29,2.8,scattered clouds
325,Fayaoue,NC,-20.65,166.5333,82.53,72,88,8.99,overcast clouds
326,Jiwani,PK,25.05,61.7417,76.75,65,6,6.71,clear sky
327,Kavaratti,IN,10.5669,72.642,82.69,74,31,7.45,scattered clouds
328,Byron Bay,AU,-28.65,153.6167,71.94,79,88,10.65,overcast clouds
329,Formosa Do Rio Preto,BR,-11.0483,-45.1931,75.88,72,51,1.7,broken clouds
330,Calvinia,ZA,-31.4707,19.776,50.25,73,0,4.12,clear sky
331,Aldergrove,CA,49.058,-122.4709,52.0,77,100,1.01,overcast clouds
332,Adrar,MR,20.5022,-10.0711,66.85,21,0,7.47,clear sky
333,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,83,20,8.05,few clouds
334,Mahajanga,MG,-15.7167,46.3167,77.02,83,20,5.75,few clouds
335,Lakes Entrance,AU,-37.8811,147.981,72.88,58,23,5.17,few clouds
336,Isangel,VU,-19.55,169.2667,86.43,64,99,3.78,overcast clouds
337,Preston,GB,53.7667,-2.7167,44.85,89,8,4.85,clear sky
338,Adelaide,AU,-34.9333,138.6,95.04,27,0,8.05,clear sky
339,Mala,PE,-12.6581,-76.6308,73.26,80,100,7.23,overcast clouds
340,Bulgan,MN,48.8125,103.5347,18.09,84,98,3.87,overcast clouds
341,Mayo,US,38.8876,-76.5119,41.97,55,100,3.44,overcast clouds
